Dataset_ID,Category,Obsdimension_Id,Obsdimension_Value,Obsvalue_Value,Source,Last_Updated
124_1157,istruzione,,2016,841882076,ISTAT,2025-07-15
124_1157,istruzione,,2017,939745231,ISTAT,2025-07-15
124_1157,istruzione,,2018,949617143,ISTAT,2025-07-15
124_1157,istruzione,,2019,865166698,ISTAT,2025-07-15
124_1157,istruzione,,2020,1295234052,ISTAT,2025-07-15
124_1157,istruzione,,2021,1359724459,ISTAT,2025-07-15
124_1157,istruzione,,2022,1228142463,ISTAT,2025-07-15
124_1157,istruzione,,2016,-42432382,ISTAT,2025-07-15
124_1157,istruzione,,2017,-30878945,ISTAT,2025-07-15
124_1157,istruzione,,2018,-30851604,ISTAT,2025-07-15
124_1157,istruzione,,2019,-22713799,ISTAT,2025-07-15
124_1157,istruzione,,2020,-30347327,ISTAT,2025-07-15
124_1157,istruzione,,2021,-23726765,ISTAT,2025-07-15
124_1157,istruzione,,2022,-22408721,ISTAT,2025-07-15
124_1157,istruzione,,2016,-42432382,ISTAT,2025-07-15
124_1157,istruzione,,2017,-30878945,ISTAT,2025-07-15
124_1157,istruzione,,2018,-30851604,ISTAT,2025-07-15
124_1157,istruzione,,2019,-22713799,ISTAT,2025-07-15
124_1157,istruzione,,2020,-30347327,ISTAT,2025-07-15
124_1157,istruzione,,2021,-23726765,ISTAT,2025-07-15
124_1157,istruzione,,2022,-22408721,ISTAT,2025-07-15
124_1157,istruzione,,2016,-999626,ISTAT,2025-07-15
124_1157,istruzione,,2017,-2327808,ISTAT,2025-07-15
124_1157,istruzione,,2018,-1625153,ISTAT,2025-07-15
124_1157,istruzione,,2019,-581230,ISTAT,2025-07-15
124_1157,istruzione,,2020,-1222668,ISTAT,2025-07-15
124_1157,istruzione,,2021,-502011,ISTAT,2025-07-15
124_1157,istruzione,,2022,-637446,ISTAT,2025-07-15
124_1157,istruzione,,2016,-999626,ISTAT,2025-07-15
124_1157,istruzione,,2017,-2327808,ISTAT,2025-07-15
124_1157,istruzione,,2018,-1625153,ISTAT,2025-07-15
124_1157,istruzione,,2019,-581230,ISTAT,2025-07-15
124_1157,istruzione,,2020,-1222668,ISTAT,2025-07-15
124_1157,istruzione,,2021,-502011,ISTAT,2025-07-15
124_1157,istruzione,,2022,-637446,ISTAT,2025-07-15
124_1157,istruzione,,2016,48373564,ISTAT,2025-07-15
124_1157,istruzione,,2017,119107230,ISTAT,2025-07-15
124_1157,istruzione,,2018,38089722,ISTAT,2025-07-15
124_1157,istruzione,,2019,72678015,ISTAT,2025-07-15
124_1157,istruzione,,2020,170453050,ISTAT,2025-07-15
124_1157,istruzione,,2021,101082288,ISTAT,2025-07-15
124_1157,istruzione,,2022,64179271,ISTAT,2025-07-15
124_1157,istruzione,,2016,48373564,ISTAT,2025-07-15
124_1157,istruzione,,2017,119107230,ISTAT,2025-07-15
124_1157,istruzione,,2018,38089722,ISTAT,2025-07-15
124_1157,istruzione,,2019,72678015,ISTAT,2025-07-15
124_1157,istruzione,,2020,170453050,ISTAT,2025-07-15
124_1157,istruzione,,2021,101082288,ISTAT,2025-07-15
124_1157,istruzione,,2022,64179271,ISTAT,2025-07-15
124_1157,istruzione,,2016,217151630,ISTAT,2025-07-15
124_1157,istruzione,,2017,280081657,ISTAT,2025-07-15
124_1157,istruzione,,2018,342485964,ISTAT,2025-07-15
124_1157,istruzione,,2019,393299018,ISTAT,2025-07-15
124_1157,istruzione,,2020,406680172,ISTAT,2025-07-15
124_1157,istruzione,,2021,416587561,ISTAT,2025-07-15
124_1157,istruzione,,2022,442069464,ISTAT,2025-07-15
124_1157,istruzione,,2016,217151630,ISTAT,2025-07-15
124_1157,istruzione,,2017,280081657,ISTAT,2025-07-15
124_1157,istruzione,,2018,342485964,ISTAT,2025-07-15
124_1157,istruzione,,2019,393299018,ISTAT,2025-07-15
124_1157,istruzione,,2020,406680172,ISTAT,2025-07-15
124_1157,istruzione,,2021,416587561,ISTAT,2025-07-15
124_1157,istruzione,,2022,442069464,ISTAT,2025-07-15
